0,1,2,3,4,5,6,7,8,9,10,11,12,label
-296.21182,100.60573,20.403976,33.59981,2.7814138,-4.748264,-9.153348,-6.936168,-10.340148,-2.4173074,-4.522169,-5.280679,-3.297952,arabic
-233.8092,104.34464,0.874274,24.623863,-0.59718037,-1.6478393,-20.14985,-2.9116402,-4.836853,-7.484828,-2.7904046,1.676068,-8.748496,arabic
-272.5122,100.0594,0.22916038,21.93405,-1.161626,-10.907821,-19.919699,-6.766099,-15.728943,-4.8743153,-4.150039,-5.758127,-14.025212,arabic
-281.90073,76.140656,-21.121578,25.106655,-23.337202,1.9716855,-19.39184,-3.7154393,-10.270141,-9.617326,-5.455231,-4.8731394,-3.6513336,arabic
-316.93887,93.64645,39.698402,37.61829,-5.2633033,3.7159226,3.6593876,-8.306691,-4.25418,9.056893,1.2895378,5.806402,-4.5636277,arabic
-254.56363,84.432335,10.7895155,26.922468,-3.4203415,-9.024178,-12.167879,-4.7872257,-27.025892,-3.7727962,-5.8526917,-4.8320494,-0.2950578,arabic
-336.95392,69.20714,4.0357347,6.5756254,2.3547895,-14.093254,-13.848066,-5.925596,-23.086536,-8.99619,-5.986889,-7.7753043,-11.168904,arabic
-274.08542,103.12787,39.162426,31.365107,14.6232605,-8.413822,-8.514329,-3.0193262,-16.303722,-3.8304017,-9.397258,-3.6774142,-3.5826368,arabic
-254.13155,51.74052,3.852341,14.455038,-2.0520751,-20.305292,-23.175344,-17.240376,-5.2292647,-18.959515,-16.22061,-14.903137,-17.23027,arabic
-263.78378,101.512856,-4.698617,25.79566,-5.6474886,-18.529572,-17.042326,-6.955341,-13.275138,-15.7432995,-21.085093,-9.863768,-12.907922,arabic
-253.4937,79.72632,-17.333183,77.530945,-2.447205,18.085274,-18.684006,-15.347845,-2.2428477,-17.090778,7.398065,-2.8629975,-12.452205,arabic
-330.9612,80.15957,17.017529,50.506416,5.3411593,-4.078261,-5.3483214,-13.17841,-13.212658,-5.6616473,-9.292912,-10.097143,-4.066147,arabic
-379.26324,47.640896,0.6062129,35.854828,-21.64641,14.327495,-22.73862,8.440063,-20.991217,-5.765395,-10.858766,-0.7494734,-6.266886,arabic
-358.30612,132.16658,-15.842167,5.150908,6.8031306,-23.086422,-8.533928,-5.6613545,-6.6162853,-19.325132,-9.230645,-4.5433216,-4.38809,arabic
-283.26266,50.016945,34.95885,-6.3580537,-2.3845797,-22.946587,-18.080608,-8.285581,-20.225096,0.2963625,-18.602385,-4.7564745,-11.842685,arabic
-325.70062,102.16185,23.274387,29.454056,3.182053,-8.1515875,-26.364735,-12.936529,-3.6864555,-4.3378725,-4.504648,4.301944,-7.7339034,arabic
